date,symbol,quantity,market_price
2015-09-22 00:00:00,002546.SZ,4100.0,4.847
2015-09-22 00:00:00,002725.SZ,2100.0,9.3311
2015-09-22 00:00:00,300083.SZ,3400.0,5.8633
2015-09-22 00:00:00,300255.SZ,2600.0,7.6277
2015-09-22 00:00:00,600059.SH,2400.0,8.2435
2015-09-22 00:00:00,600221.SH,5000.0,3.9436
2015-09-22 00:00:00,600246.SH,4500.0,4.3603
2015-09-22 00:00:00,600595.SH,4400.0,4.4633
2015-09-22 00:00:00,600617.SH,1800.0,10.7691
2015-09-22 00:00:00,600725.SH,7000.0,2.835
2015-09-22 00:00:00,600812.SH,3300.0,6.0418
2015-09-22 00:00:00,600875.SH,1700.0,11.3044
2015-09-22 00:00:00,601001.SH,4100.0,4.7954
2015-09-22 00:00:00,601015.SH,4700.0,4.1701
2015-09-22 00:00:00,601600.SH,4200.0,4.7565
2015-09-22 00:00:00,601700.SH,3400.0,5.8166
2015-09-22 00:00:00,601969.SH,1500.0,12.7523
2015-09-22 00:00:00,601992.SH,6000.0,3.3185
2015-09-22 00:00:00,603366.SH,2500.0,7.8507
2015-09-24 00:00:00,000035.SZ,3100.0,6.3901
2015-09-24 00:00:00,000507.SZ,3500.0,5.697
2015-09-24 00:00:00,000567.SZ,6500.0,3.0569
2015-09-24 00:00:00,000895.SZ,2000.0,9.8094
2015-09-24 00:00:00,002045.SZ,2600.0,7.5925
2015-09-24 00:00:00,002748.SZ,1700.0,11.4602
2015-09-24 00:00:00,600965.SH,2100.0,9.38
2015-09-24 00:00:00,600976.SH,800.0,22.3111
2015-09-24 00:00:00,603088.SH,3700.0,5.3565
2015-09-28 00:00:00,002443.SZ,2200.0,8.9098
2015-09-28 00:00:00,002648.SZ,7600.0,2.6225
2015-09-28 00:00:00,300125.SZ,2600.0,7.6346
2015-09-28 00:00:00,600691.SH,6400.0,3.12
2015-09-28 00:00:00,601633.SH,2500.0,7.9619
2015-09-30 00:00:00,000156.SZ,900.0,21.9427
2015-09-30 00:00:00,002035.SZ,5200.0,3.8147
2015-09-30 00:00:00,600528.SH,1900.0,10.4408
2015-09-30 00:00:00,600805.SH,1900.0,10.375
2015-09-30 00:00:00,603688.SH,3300.0,5.9865
2015-10-09 00:00:00,600104.SH,1700.0,11.5945
2015-10-09 00:00:00,600143.SH,3300.0,6.0571
2015-10-09 00:00:00,600241.SH,2000.0,9.5661
2015-10-09 00:00:00,600250.SH,2000.0,9.71
2015-10-09 00:00:00,600295.SH,8200.0,2.4103
2015-10-09 00:00:00,600396.SH,3000.0,6.4777
2015-10-09 00:00:00,600596.SH,4700.0,4.2394
2015-10-09 00:00:00,600684.SH,3000.0,6.656
2015-10-09 00:00:00,600829.SH,2100.0,9.4334
2015-10-09 00:00:00,600863.SH,6100.0,3.2466
2015-10-09 00:00:00,600998.SH,3900.0,5.023
2015-10-09 00:00:00,601009.SH,5400.0,3.7036
2015-10-09 00:00:00,601116.SH,2500.0,7.7626
2015-10-09 00:00:00,601678.SH,5600.0,3.5622
2015-10-09 00:00:00,603018.SH,3300.0,6.0017
2015-10-09 00:00:00,603123.SH,2300.0,8.3554
